QueryID	Q0	DocID	Rank	Score	RunID
test	Q0	588422	168	15.0	runtest
test	Q0	581104	169	15.0	runtest
test	Q0	530795	170	15.0	runtest
test	Q0	273017	171	15.0	runtest
test	Q0	70306	172	15.0	runtest
test	Q0	18101	173	15.0	runtest
test	Q0	828491	174	14.0	runtest
test	Q0	825147	175	14.0	runtest
test	Q0	822654	176	14.0	runtest
test	Q0	674031	177	14.0	runtest
test	Q0	669852	178	14.0	runtest
test	Q0	663904	179	14.0	runtest
test	Q0	568599	180	14.0	runtest
test	Q0	551496	181	14.0	runtest
test	Q0	545213	182	14.0	runtest
test	Q0	529630	183	14.0	runtest
test	Q0	453859	184	14.0	runtest
test	Q0	421075	185	14.0	runtest
test	Q0	154557	186	14.0	runtest
test	Q0	124691	187	14.0	runtest
test	Q0	57193	188	14.0	runtest
test	Q0	43491	189	14.0	runtest
test	Q0	43468	190	14.0	runtest
test	Q0	4198	191	14.0	runtest
test	Q0	889247	192	13.0	runtest
test	Q0	878024	193	13.0	runtest
test	Q0	872957	194	13.0	runtest
test	Q0	848480	195	13.0	runtest
test	Q0	846695	196	13.0	runtest
test	Q0	836345	197	13.0	runtest
test	Q0	821670	198	13.0	runtest
test	Q0	821442	199	13.0	runtest
test	Q0	728169	200	13.0	runtest
test	Q0	665848	201	13.0	runtest
test	Q0	541277	202	13.0	runtest
test	Q0	258755	203	13.0	runtest
test	Q0	199023	204	13.0	runtest
test	Q0	195476	205	13.0	runtest
test	Q0	191899	206	13.0	runtest
test	Q0	184932	207	13.0	runtest
test	Q0	153945	208	13.0	runtest
test	Q0	124694	209	13.0	runtest
test	Q0	111500	210	13.0	runtest
test	Q0	83860	211	13.0	runtest
test	Q0	70232	212	13.0	runtest
test	Q0	13688	213	13.0	runtest
test	Q0	870332	214	12.0	runtest
test	Q0	775494	215	12.0	runtest
test	Q0	738271	216	12.0	runtest
test	Q0	725355	217	12.0	runtest
test	Q0	711658	218	12.0	runtest
test	Q0	682443	219	12.0	runtest
test	Q0	583206	220	12.0	runtest
test	Q0	550480	221	12.0	runtest
test	Q0	509156	222	12.0	runtest
test	Q0	504295	223	12.0	runtest
test	Q0	486395	224	12.0	runtest
test	Q0	463817	225	12.0	runtest
test	Q0	435908	226	12.0	runtest
test	Q0	387220	227	12.0	runtest
test	Q0	379384	228	12.0	runtest
test	Q0	363768	229	12.0	runtest
test	Q0	328588	230	12.0	runtest
test	Q0	308900	231	12.0	runtest
test	Q0	266961	232	12.0	runtest
test	Q0	174038	233	12.0	runtest
test	Q0	145669	234	12.0	runtest
test	Q0	110942	235	12.0	runtest
test	Q0	104073	236	12.0	runtest
test	Q0	90523	237	12.0	runtest
test	Q0	58912	238	12.0	runtest
test	Q0	57081	239	12.0	runtest
test	Q0	50112	240	12.0	runtest
test	Q0	43382	241	12.0	runtest
test	Q0	11427	242	12.0	runtest
test	Q0	889877	243	11.0	runtest
test	Q0	889191	244	11.0	runtest
test	Q0	843120	245	11.0	runtest
test	Q0	722071	246	11.0	runtest
test	Q0	651099	247	11.0	runtest
test	Q0	648654	248	11.0	runtest
test	Q0	615847	249	11.0	runtest
test	Q0	610815	250	11.0	runtest
test	Q0	595560	251	11.0	runtest
test	Q0	583282	252	11.0	runtest
test	Q0	548226	253	11.0	runtest
test	Q0	522906	254	11.0	runtest
test	Q0	486223	255	11.0	runtest
test	Q0	475597	256	11.0	runtest
test	Q0	475592	257	11.0	runtest
test	Q0	469765	258	11.0	runtest
test	Q0	406599	259	11.0	runtest
test	Q0	392754	260	11.0	runtest
test	Q0	386022	261	11.0	runtest
test	Q0	376857	262	11.0	runtest
test	Q0	371450	263	11.0	runtest
test	Q0	366972	264	11.0	runtest
test	Q0	356508	265	11.0	runtest
test	Q0	218268	266	11.0	runtest
test	Q0	131546	267	11.0	runtest
test	Q0	131466	268	11.0	runtest
test	Q0	110948	269	11.0	runtest
test	Q0	90637	270	11.0	runtest
test	Q0	57159	271	11.0	runtest
test	Q0	36395	272	11.0	runtest
test	Q0	17560	273	11.0	runtest
test	Q0	5302	274	11.0	runtest
test	Q0	889220	275	10.0	runtest
test	Q0	889200	276	10.0	runtest
test	Q0	882541	277	10.0	runtest
test	Q0	874127	278	10.0	runtest
test	Q0	842943	279	10.0	runtest
test	Q0	837778	280	10.0	runtest
test	Q0	831973	281	10.0	runtest
test	Q0	828573	282	10.0	runtest
test	Q0	826548	283	10.0	runtest
test	Q0	749656	284	10.0	runtest
test	Q0	746662	285	10.0	runtest
test	Q0	736137	286	10.0	runtest
test	Q0	728499	287	10.0	runtest
test	Q0	719148	288	10.0	runtest
test	Q0	700811	289	10.0	runtest
test	Q0	700567	290	10.0	runtest
test	Q0	666581	291	10.0	runtest
test	Q0	619639	292	10.0	runtest
test	Q0	611478	293	10.0	runtest
test	Q0	585780	294	10.0	runtest
test	Q0	580899	295	10.0	runtest
test	Q0	538483	296	10.0	runtest
test	Q0	512532	297	10.0	runtest
test	Q0	507057	298	10.0	runtest
test	Q0	504244	299	10.0	runtest
test	Q0	461359	300	10.0	runtest
test	Q0	422017	301	10.0	runtest
test	Q0	404987	302	10.0	runtest
test	Q0	386032	303	10.0	runtest
test	Q0	357254	304	10.0	runtest
test	Q0	356002	305	10.0	runtest
test	Q0	343313	306	10.0	runtest
test	Q0	333320	307	10.0	runtest
test	Q0	324422	308	10.0	runtest
test	Q0	315038	309	10.0	runtest
test	Q0	290388	310	10.0	runtest
test	Q0	286796	311	10.0	runtest
test	Q0	239831	312	10.0	runtest
test	Q0	73562	313	10.0	runtest
test	Q0	889888	314	9.0	runtest
test	Q0	880551	315	9.0	runtest
test	Q0	880484	316	9.0	runtest
test	Q0	874534	317	9.0	runtest
test	Q0	872627	318	9.0	runtest
test	Q0	871601	319	9.0	runtest
test	Q0	866584	320	9.0	runtest
test	Q0	856418	321	9.0	runtest
test	Q0	852801	322	9.0	runtest
test	Q0	848020	323	9.0	runtest
test	Q0	843656	324	9.0	runtest
